AGENCY,transactions,spend,avg_priority_score,high_plus,avg_signal_families,max_vendor_concentration,high_plus_rate_pct
SYNTHETIC AGENCY C,659,359676.36,28.89681335356601,13,2.7359635811836114,0.17913726662491802,1.9726858877086495
SYNTHETIC AGENCY A,571,343617.91,29.315936952714537,11,2.768826619964974,0.1808085614629342,1.926444833625219
SYNTHETIC AGENCY E,631,362496.06,27.69762282091918,10,2.572107765451664,0.15724308838005024,1.5847860538827259
SYNTHETIC AGENCY B,593,290250.22,27.81989881956155,0,2.6492411467116357,0.04687903423466829,0.0
SYNTHETIC AGENCY D,629,310001.02,27.507790143084264,0,2.6661367249602543,0.04529181871724164,0.0
SYNTHETIC AGENCY F,612,429955.94,30.501143790849675,0,2.7794117647058822,0.26907189606451304,0.0
SYNTHETIC AGENCY G,582,329129.9,28.15463917525773,0,2.661512027491409,0.07904353265990115,0.0
SYNTHETIC AGENCY H,626,374816.79,27.812779552715654,0,2.6645367412140577,0.04469260835407079,0.0
SYNTHETIC AGENCY I,687,1038822.6900000001,30.906695778748183,0,2.9097525473071326,0.720998604680073,0.0
SYNTHETIC AGENCY J,570,278306.63,28.568421052631578,0,2.670175438596491,0.05109414748761106,0.0
