score_threshold,alerts,review_hours,proxy_risk_coverage_pct,avg_selected_score,multi_family_rate_pct
35,1254,250.8,29.19,41.21,99.92
36,1079,215.8,25.69,42.15,99.91
37,931,186.2,22.64,43.06,100.0
38,760,152.0,19.03,44.33,100.0
39,636,127.2,16.34,45.49,100.0
40,519,103.8,13.73,46.85,100.0
41,458,91.6,12.34,47.7,100.0
42,393,78.6,10.82,48.74,100.0
43,335,67.0,9.43,49.84,100.0
44,290,58.0,8.33,50.83,100.0
45,249,49.8,7.3,51.88,100.0
46,217,43.4,6.48,52.83,100.0
47,185,37.0,5.64,53.93,100.0
48,158,31.6,4.91,55.03,100.0
49,145,29.0,4.56,55.62,100.0
50,124,24.8,3.97,56.67,100.0
51,108,21.6,3.51,57.57,100.0
52,88,17.6,2.93,58.96,100.0
53,73,14.6,2.49,60.3,100.0
54,62,12.4,2.15,61.48,100.0
55,55,11.0,1.94,62.39,100.0
56,41,8.2,1.5,64.72,100.0
57,36,7.2,1.34,65.92,100.0
58,36,7.2,1.34,65.92,100.0
59,36,7.2,1.34,65.92,100.0
60,34,6.8,1.27,66.29,100.0
61,31,6.2,1.17,66.88,100.0
62,31,6.2,1.17,66.88,100.0
63,30,6.0,1.14,67.01,100.0
64,29,5.8,1.1,67.14,100.0
65,20,4.0,0.77,68.3,100.0
66,17,3.4,0.66,68.79,100.0
67,13,2.6,0.51,69.6,100.0
68,8,1.6,0.32,71.0,100.0
69,6,1.2,0.24,71.78,100.0
70,3,0.6,0.13,74.17,100.0
71,3,0.6,0.13,74.17,100.0
72,3,0.6,0.13,74.17,100.0
73,3,0.6,0.13,74.17,100.0
74,1,0.2,0.04,75.9,100.0
75,1,0.2,0.04,75.9,100.0
76,0,0.0,0.0,0.0,0.0
77,0,0.0,0.0,0.0,0.0
78,0,0.0,0.0,0.0,0.0
79,0,0.0,0.0,0.0,0.0
80,0,0.0,0.0,0.0,0.0
81,0,0.0,0.0,0.0,0.0
82,0,0.0,0.0,0.0,0.0
83,0,0.0,0.0,0.0,0.0
84,0,0.0,0.0,0.0,0.0
85,0,0.0,0.0,0.0,0.0
86,0,0.0,0.0,0.0,0.0
87,0,0.0,0.0,0.0,0.0
88,0,0.0,0.0,0.0,0.0
89,0,0.0,0.0,0.0,0.0
90,0,0.0,0.0,0.0,0.0
91,0,0.0,0.0,0.0,0.0
92,0,0.0,0.0,0.0,0.0
93,0,0.0,0.0,0.0,0.0
94,0,0.0,0.0,0.0,0.0
95,0,0.0,0.0,0.0,0.0
